gender,state,city,county,amount,plan,event_type,daystoresolve,event_date_gap,age,service
M,Ohio,Kipling,Guernsey,625.0,"{'1_Gbps', '200_Mbps', '300_Mbps', '500_Mbps'}",['order'],0.0,240,20,1
F,Missouri,Brookline,Greene,960.0,"{'200_Mbps', '300_Mbps'}",['order'],0.0,360,79,2
F,Arkansas,Pindall,Searcy,2710.0,"{'1_Gbps', '500_Mbps'}","['ticket', 'order']",73.0,1173,28,4
F,Arkansas,Greenbrier,Faulkner,900.0,{'500_Mbps'},['order'],0.0,0,56,2
M,Texas,Zavalla,Angelina,1070.0,{'300_Mbps'},"['ticket', 'order']",18.0,531,58,2
F,Missouri,Fair Play,Polk,1365.0,"{'1_Gbps', '100_Mbps', '300_Mbps'}","['ticket', 'order']",20.0,505,19,2
M,Pennsylvania,Erie,Erie,830.0,{'25_Mbps'},"['ticket', 'order']",14.0,780,29,3
M,Georgia,Pendergrass,Jackson,540.0,"{'1_Gbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",81.0,240,26,1
M,Pennsylvania,Peckville,Lackawanna,530.0,"{'200_Mbps', '100_Mbps'}","['ticket', 'order']",50.0,280,26,1
M,Oklahoma,Wagoner,Wagoner,1240.0,"{'200_Mbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",122.0,842,63,3
M,Texas,Amarillo,Potter,805.0,{'1_Gbps'},"['ticket', 'order']",37.0,330,44,1
F,South Carolina,Pawleys Island,Georgetown,1025.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",16.0,780,34,3
M,Texas,Ballinger,Runnels,650.0,{'200_Mbps'},['order'],0.0,160,39,1
F,Missouri,Marble Hill,Bollinger,920.0,{'25_Mbps'},"['ticket', 'order']",16.0,765,64,3
F,Ohio,Mechanicstown,Carroll,385.0,{'500_Mbps'},"['ticket', 'order']",47.0,122,20,1
F,Iowa,Allerton,Wayne,995.0,"{'200_Mbps', '500_Mbps'}","['ticket', 'order']",1.0,510,21,2
F,Pennsylvania,Rochester,Beaver,630.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",38.0,352,60,2
F,Florida,Arcadia,DeSoto,565.0,{'200_Mbps'},"['ticket', 'order']",9.0,186,80,1
F,Georgia,Pearson,Atkinson,1420.0,"{'100_Mbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",18.0,840,72,3
F,Pennsylvania,Mc Donald,Washington,235.0,{'500_Mbps'},"['ticket', 'order']",23.0,60,31,1
M,New York,Pine Hill,Ulster,1190.0,{'200_Mbps'},"['ticket', 'order']",49.0,389,40,2
F,New York,Orchard Park,Erie,1305.0,"{'1_Gbps', '100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",17.0,610,43,2
M,New Mexico,Hagerman,Chaves,345.0,"{'1_Gbps', '200_Mbps', '100_Mbps', '300_Mbps'}",['order'],0.0,150,28,1
F,Missouri,Dittmer,Jefferson,820.0,"{'1_Gbps', '100_Mbps'}",['order'],0.0,330,37,2
F,Kentucky,Wittensville,Johnson,1175.0,{'500_Mbps'},"['ticket', 'order']",33.0,494,96,2
F,Missouri,Kansas City,Jackson,1100.0,{'200_Mbps'},"['ticket', 'order']",20.0,653,24,2
M,North Carolina,Minneapolis,Avery,1340.0,{'500_Mbps'},"['ticket', 'order']",4.0,690,21,2
F,Nebraska,Boelus,Howard,2056.0,{'500_Mbps'},"['ticket', 'order']",75.0,764,42,3
F,Georgia,Coolidge,Thomas,580.0,"{'100_Mbps', '500_Mbps', '25_Mbps'}",['order'],0.0,300,42,1
F,Iowa,Otley,Marion,135.0,{'500_Mbps'},None,0.0,0,72,0
F,Texas,Bellevue,Clay,285.0,"{'500_Mbps', '25_Mbps'}",['order'],0.0,83,36,1
F,Minnesota,Lynd,Lyon,420.0,"{'200_Mbps', '100_Mbps'}","['ticket', 'order']",79.0,196,35,1
F,Texas,Sierra Blanca,Hudspeth,590.0,{'25_Mbps'},"['ticket', 'order']",19.0,540,25,2
F,Texas,Fort Worth,Tarrant,985.0,"{'1_Gbps', '100_Mbps'}","['ticket', 'order']",17.0,498,22,2
M,North Carolina,Blanch,Caswell,1255.0,{'1_Gbps'},"['ticket', 'order']",29.0,365,76,2
F,Pennsylvania,Trevorton,Northumberland,175.0,{'300_Mbps'},"['ticket', 'order']",32.0,19,102,1
M,Ohio,Saint Henry,Mercer,385.0,{'25_Mbps'},"['ticket', 'order']",78.0,281,27,1
F,Georgia,Augusta,Richmond,1415.0,{'200_Mbps'},"['ticket', 'order']",11.0,577,26,3
M,New Mexico,Cerro,Taos,575.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",16.0,270,19,1
M,Ohio,Ludlow Falls,Miami,445.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",28.0,180,47,1
M,Missouri,Chestnutridge,Christian,705.0,"{'200_Mbps', '300_Mbps', '100_Mbps'}","['ticket', 'order']",33.0,351,44,1
M,Georgia,Sapelo Island,McIntosh,585.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",38.0,190,29,1
M,Oklahoma,Fanshawe,Le Flore,870.0,{'300_Mbps'},"['ticket', 'order']",6.0,307,26,2
F,South Carolina,Saint Matthews,Calhoun,1125.0,{'1_Gbps'},"['ticket', 'order']",32.0,380,31,2
M,Ohio,Houston,Shelby,155.0,{'100_Mbps'},"['ticket', 'order']",0.0,30,22,1
F,Missouri,Moundville,Vernon,950.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",22.0,480,51,2
F,New York,Candor,Tioga,320.0,"{'1_Gbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",6.0,120,42,1
F,New York,Theresa,Jefferson,355.0,{'300_Mbps'},['order'],0.0,150,48,1
F,Mississippi,Southaven,DeSoto,1055.0,{'200_Mbps'},"['ticket', 'order']",81.0,660,22,2
F,Florida,Winter Haven,Polk,1670.0,{'500_Mbps'},"['ticket', 'order']",54.0,790,69,3
M,Mississippi,Metcalfe,Washington,685.0,{'500_Mbps'},"['ticket', 'order']",36.0,265,48,1
M,New York,Wampsville,Madison,630.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",43.0,276,60,1
M,Kentucky,Lexington,Fayette,110.0,{'25_Mbps'},None,0.0,0,50,0
M,New York,Bullville,Orange,1190.0,{'200_Mbps'},"['ticket', 'order']",7.0,411,71,3
F,Florida,Tampa,Hillsborough,980.0,{'25_Mbps'},"['ticket', 'order']",31.0,837,27,3
M,Arkansas,New Blaine,Logan,1075.0,"{'1_Gbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",27.0,484,52,2
M,Arkansas,Kingsland,Cleveland,790.0,"{'1_Gbps', '100_Mbps'}","['ticket', 'order']",4.0,95,26,2
M,Texas,Dallas,Dallas,1420.0,{'100_Mbps'},"['ticket', 'order']",39.0,1020,20,3
M,New York,Syracuse,Onondaga,360.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",32.0,150,51,1
M,New York,Canandaigua,Ontario,1175.0,{'500_Mbps'},"['ticket', 'order']",8.0,292,54,2
F,Minnesota,Iona,Murray,1790.0,"{'1_Gbps', '200_Mbps'}",['order'],0.0,630,25,3
M,Texas,Houston,Harris,2156.0,"{'1_Gbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",38.0,930,41,4
M,Texas,Kress,Swisher,1020.0,{'300_Mbps'},"['ticket', 'order']",22.0,509,64,2
F,Pennsylvania,Falls Creek,Jefferson,720.0,"{'100_Mbps', '500_Mbps'}","['ticket', 'order']",7.0,360,28,1
M,Nebraska,Omaha,Douglas,1280.0,"{'100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",34.0,719,27,3
F,Florida,Okeechobee,Okeechobee,1515.0,{'1_Gbps'},"['ticket', 'order']",38.0,550,28,2
F,Florida,Ocala,Marion,635.0,{'500_Mbps'},"['ticket', 'order']",58.0,282,21,1
M,Kentucky,Keaton,Johnson,745.0,"{'1_Gbps', '500_Mbps'}",['order'],0.0,210,51,1
F,Iowa,Anthon,Woodbury,740.0,{'100_Mbps'},"['ticket', 'order']",27.0,445,58,2
M,Pennsylvania,Mohrsville,Berks,1120.0,{'300_Mbps'},"['ticket', 'order']",32.0,588,61,2
M,Oklahoma,Kiowa,Pittsburg,1725.0,{'500_Mbps'},"['ticket', 'order']",19.0,797,45,3
M,Ohio,Dayton,Montgomery,235.0,{'25_Mbps'},"['ticket', 'order']",12.0,150,73,1
M,Georgia,Rock Spring,Walker,620.0,{'100_Mbps'},"['ticket', 'order']",71.0,420,49,2
F,Arkansas,North Little Rock,Pulaski,580.0,{'300_Mbps'},"['ticket', 'order']",45.0,300,22,1
F,Minnesota,Beaver Creek,Rock,755.0,"{'100_Mbps', '300_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",77.0,420,28,2
M,Ohio,Dayton,Montgomery,565.0,{'200_Mbps'},"['ticket', 'order']",41.0,309,75,1
F,Ohio,Wilkesville,Vinton,1330.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",14.0,612,50,3
F,Ohio,Spencerville,Allen,485.0,{'200_Mbps'},"['ticket', 'order']",18.0,185,25,1
F,North Carolina,Longwood,Brunswick,790.0,"{'1_Gbps', '300_Mbps'}","['ticket', 'order']",32.0,140,64,1
F,Missouri,Bell City,Stoddard,865.0,{'1_Gbps'},"['ticket', 'order']",18.0,258,44,1
M,New York,Shelter Island,Suffolk,780.0,{'100_Mbps'},"['ticket', 'order']",9.0,255,57,2
F,Ohio,North Lewisburg,Logan,530.0,{'25_Mbps'},"['ticket', 'order']",9.0,85,34,2
M,Missouri,Tipton,Moniteau,1685.0,{'200_Mbps'},['order'],0.0,1080,25,4
M,Mississippi,Tishomingo,Tishomingo,790.0,{'500_Mbps'},"['ticket', 'order']",45.0,331,28,1
M,Kentucky,Delphia,Perry,145.0,{'1_Gbps'},None,0.0,0,64,0
F,Nebraska,Inland,Clay,1415.0,{'200_Mbps'},['order'],0.0,0,51,3
M,Missouri,Udall,Ozark,600.0,"{'200_Mbps', '300_Mbps', '500_Mbps'}","['ticket', 'order']",43.0,209,55,1
F,Alabama,Langston,Marshall,540.0,{'100_Mbps'},"['ticket', 'order']",36.0,331,28,1
M,Texas,Naval Air Station Jrb,Tarrant,530.0,"{'100_Mbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",27.0,233,26,1
M,Georgia,Columbus,Muscogee,475.0,"{'200_Mbps', '300_Mbps'}",['order'],0.0,180,52,1
M,South Carolina,Centenary,Marion,2000.0,{'500_Mbps'},"['ticket', 'order']",36.0,973,21,3
F,Florida,Bradenton,Manatee,550.0,"{'1_Gbps', '200_Mbps', '100_Mbps'}","['ticket', 'order']",31.0,270,42,1
M,Arkansas,Hector,Pope,475.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",8.0,203,23,1
F,Georgia,Arlington,Calhoun,1190.0,{'1_Gbps'},"['ticket', 'order']",60.0,510,120,2
F,Missouri,Waldron,Platte,445.0,{'300_Mbps'},"['ticket', 'order']",9.0,210,55,1
M,Ohio,Toronto,Jefferson,135.0,{'500_Mbps'},None,0.0,0,56,0
F,Missouri,Camden,Ray,1490.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",4.0,780,79,3
M,New York,Westdale,Oneida,235.0,{'25_Mbps'},"['ticket', 'order']",26.0,150,26,1
M,Texas,Dallas,Dallas,1215.0,"{'200_Mbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",43.0,750,23,3
F,North Carolina,Lewiston Woodville,Bertie,425.0,"{'1_Gbps', '300_Mbps', '500_Mbps'}","['ticket', 'order']",7.0,180,41,1
F,New York,Brooklyn,Kings,600.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",35.0,250,58,1
M,Florida,Tallahassee,Leon,1155.0,"{'200_Mbps', '100_Mbps'}",['order'],0.0,420,61,3
M,Texas,Nolan,Nolan,1370.0,{'300_Mbps'},['order'],0.0,780,30,3
M,Alabama,Louisville,Barbour,660.0,"{'1_Gbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",43.0,320,28,1
F,Texas,Pasadena,Harris,400.0,{'300_Mbps'},"['ticket', 'order']",1.0,35,48,1
M,Missouri,Bunker,Reynolds,940.0,{'100_Mbps'},"['ticket', 'order']",28.0,601,43,2
M,Oklahoma,Blanchard,McClain,2220.0,{'500_Mbps'},"['ticket', 'order']",34.0,1030,47,4
M,Arkansas,Wiseman,Izard,1370.0,{'300_Mbps'},"['ticket', 'order']",28.0,780,24,3
F,Kentucky,Dwarf,Perry,670.0,{'300_Mbps'},"['ticket', 'order']",12.0,327,43,1
M,Texas,Huntsville,Walker,870.0,"{'100_Mbps', '25_Mbps'}",['order'],0.0,120,38,3
F,Florida,Sarasota,Sarasota,1265.0,"{'1_Gbps', '300_Mbps'}","['ticket', 'order']",31.0,567,39,2
M,Texas,Bacliff,Galveston,710.0,{'25_Mbps'},"['ticket', 'order']",31.0,604,72,2
M,North Carolina,Cary,Wake,665.0,"{'200_Mbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",70.0,455,24,2
M,New Mexico,Blanco,San Juan,330.0,{'100_Mbps'},"['ticket', 'order']",21.0,155,27,1
F,Florida,Crestview,Okaloosa,2440.0,{'500_Mbps'},"['ticket', 'order']",41.0,1290,23,4
F,New Mexico,Los Lunas,Valencia,540.0,{'100_Mbps'},['order'],0.0,0,83,1
M,North Carolina,Sanford,Lee,730.0,"{'100_Mbps', '500_Mbps'}","['ticket', 'order']",47.0,447,37,2
F,Pennsylvania,Rehrersburg,Berks,385.0,{'1_Gbps'},"['ticket', 'order']",26.0,120,38,1
F,North Carolina,Fuquay Varina,Wake,1920.0,{'300_Mbps'},"['ticket', 'order']",26.0,1110,25,4
F,Minnesota,Gonvick,Clearwater,1065.0,{'500_Mbps'},"['ticket', 'order']",51.0,478,23,2
F,Arkansas,Smackover,Union,1905.0,{'1_Gbps'},['order'],0.0,700,27,3
M,Georgia,Whitesburg,Carroll,430.0,"{'200_Mbps', '300_Mbps'}",['order'],0.0,210,48,1
F,Pennsylvania,Drumore,Lancaster,1255.0,"{'1_Gbps', '200_Mbps', '25_Mbps'}","['ticket', 'order']",12.0,870,81,3
F,Florida,Miami,Miami-Dade,2164.0,{'1_Gbps'},"['ticket', 'order']",39.0,804,65,3
M,Georgia,Atlanta,Fulton,920.0,{'200_Mbps'},['order'],0.0,0,92,2
M,New York,Buffalo,Erie,1055.0,{'200_Mbps'},"['ticket', 'order']",5.0,660,44,2
M,Nebraska,Nelson,Nuckolls,1830.0,"{'1_Gbps', '200_Mbps', '500_Mbps'}","['ticket', 'order']",47.0,930,20,3
F,Kentucky,Covington,Kenton,1900.0,"{'200_Mbps', '500_Mbps'}","['ticket', 'order']",50.0,952,40,3
F,Nebraska,Tekamah,Burt,470.0,{'25_Mbps'},['order'],0.0,420,60,2
M,Alabama,Holly Pond,Cullman,530.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",45.0,302,41,1
F,Minnesota,Duluth,St. Louis,1180.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",15.0,710,20,2
F,Arkansas,Frenchmans Bayou,Mississippi,990.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",37.0,469,45,2
F,Alabama,Jachin,Choctaw,1260.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",101.0,816,53,3
F,Iowa,Kalona,Washington,770.0,{'300_Mbps'},"['ticket', 'order']",21.0,381,27,2
M,New York,Machias,Cattaraugus,1820.0,{'300_Mbps'},"['ticket', 'order']",20.0,991,55,3
M,New York,Atlantic Beach,Nassau,1595.0,{'200_Mbps'},['order'],0.0,1020,32,3
M,Ohio,Midland,Clinton,620.0,{'25_Mbps'},"['ticket', 'order']",12.0,505,25,2
F,Ohio,Youngstown,Mahoning,1380.0,{'100_Mbps'},"['ticket', 'order']",16.0,496,23,3
M,Ohio,Eaton,Preble,965.0,"{'1_Gbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",22.0,300,73,2
M,Pennsylvania,Reading,Berks,1820.0,{'200_Mbps'},"['ticket', 'order']",55.0,1059,39,4
F,Nebraska,North Bend,Dodge,135.0,{'500_Mbps'},None,0.0,0,48,0
M,Texas,Marshall,Harrison,1055.0,{'200_Mbps'},"['ticket', 'order']",8.0,476,43,2
F,Ohio,Solon,Cuyahoga,1010.0,{'500_Mbps'},"['ticket', 'order']",36.0,213,87,2
M,North Carolina,Jefferson,Ashe,690.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",60.0,570,56,2
F,Texas,Beaumont,Jefferson,1465.0,"{'100_Mbps', '500_Mbps'}","['ticket', 'order']",55.0,902,31,3
F,New York,Amsterdam,Montgomery,780.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",28.0,369,54,2
F,Oklahoma,Arkoma,Le Flore,1395.0,{'500_Mbps'},"['ticket', 'order']",32.0,720,32,3
F,Pennsylvania,Pittsburgh,Allegheny,135.0,{'25_Mbps'},"['ticket', 'order']",40.0,26,19,1
F,Texas,Meyersville,Victoria,930.0,{'1_Gbps'},"['ticket', 'order']",46.0,157,79,1
M,New York,Sound Beach,Suffolk,780.0,"{'1_Gbps', '200_Mbps', '500_Mbps', '25_Mbps'}",['order'],0.0,360,36,2
F,Iowa,West Branch,Cedar,245.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",60.0,150,38,1
M,Nebraska,Magnet,Cedar,1595.0,"{'200_Mbps', '100_Mbps', '500_Mbps'}",['order'],0.0,450,43,3
M,Arkansas,Stuttgart,Arkansas,125.0,{'200_Mbps'},None,0.0,0,41,1
F,Oklahoma,Locust Grove,Mayes,1010.0,{'500_Mbps'},"['ticket', 'order']",9.0,348,25,2
F,New York,Brooklyn,Kings,2000.0,{'500_Mbps'},"['ticket', 'order']",16.0,982,29,3
M,Arkansas,Watson,Desha,470.0,{'25_Mbps'},"['ticket', 'order']",27.0,343,56,2
M,New York,Selden,Suffolk,815.0,"{'200_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",65.0,510,24,2
F,South Carolina,Bonneau,Berkeley,1185.0,"{'300_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",25.0,570,29,2
F,Alabama,Sylvania,DeKalb,1120.0,{'300_Mbps'},['order'],0.0,0,33,2
M,Texas,Iraan,Pecos,1645.0,{'1_Gbps'},"['ticket', 'order']",39.0,473,32,2
F,Minnesota,Graceville,Big Stone,1225.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",7.0,441,22,2
F,New York,Cooperstown,Otsego,1680.0,"{'1_Gbps', '500_Mbps'}","['ticket', 'order']",18.0,870,71,3
M,Nebraska,Exeter,Fillmore,1415.0,{'200_Mbps'},['order'],0.0,0,44,3
M,Kentucky,Midway,Woodford,820.0,{'100_Mbps'},['order'],0.0,570,28,2
F,Alabama,Hurtsboro,Russell,685.0,{'1_Gbps'},"['ticket', 'order']",41.0,248,32,1
M,Pennsylvania,Union City,Erie,435.0,{'100_Mbps'},"['ticket', 'order']",30.0,255,52,1
F,Iowa,Keokuk,Lee,1670.0,"{'1_Gbps', '200_Mbps', '25_Mbps'}","['ticket', 'order']",4.0,840,39,3
F,Minnesota,Janesville,Waseca,640.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",82.0,390,23,2
F,Arkansas,Hughes,St. Francis,1065.0,{'500_Mbps'},"['ticket', 'order']",12.0,540,83,2
M,Pennsylvania,Chandlers Valley,Warren,695.0,{'200_Mbps'},"['ticket', 'order']",25.0,364,95,2
F,Minnesota,Belview,Redwood,2000.0,{'200_Mbps'},['order'],0.0,0,56,4
F,Ohio,Magnolia,Stark,235.0,{'25_Mbps'},"['ticket', 'order']",25.0,92,24,1
M,South Carolina,Ninety Six,Greenwood,785.0,"{'200_Mbps', '500_Mbps'}","['ticket', 'order']",54.0,345,69,2
M,Texas,San Antonio,Bexar,405.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",36.0,180,48,1
F,Texas,Glidden,Colorado,1255.0,{'1_Gbps'},['order'],0.0,0,38,2
F,Missouri,Kansas City,Jackson,1190.0,{'200_Mbps'},"['ticket', 'order']",22.0,657,31,3
M,Pennsylvania,Hazleton,Luzerne,1325.0,{'200_Mbps'},"['ticket', 'order']",22.0,465,19,3
F,Kentucky,Keaton,Johnson,235.0,{'25_Mbps'},"['ticket', 'order']",16.0,150,25,1
F,Ohio,Englewood,Montgomery,1065.0,{'500_Mbps'},"['ticket', 'order']",23.0,372,85,2
F,North Carolina,Eden,Rockingham,650.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",1.0,210,33,2
M,Georgia,Evans,Columbia,1705.0,"{'500_Mbps', '25_Mbps'}","['ticket', 'order']",62.0,870,26,3
M,New York,Basom,Genesee,1190.0,{'200_Mbps'},"['ticket', 'order']",2.0,750,59,3
F,North Carolina,Marshallberg,Carteret,955.0,{'500_Mbps'},"['ticket', 'order']",39.0,439,72,2
F,Kentucky,Boons Camp,Johnson,1320.0,"{'1_Gbps', '100_Mbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",46.0,840,33,3
F,Texas,Houston,Harris,820.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",14.0,570,32,2
F,Minnesota,Clarks Grove,Freeborn,1085.0,"{'100_Mbps', '500_Mbps'}","['ticket', 'order']",1.0,415,23,2
F,Kentucky,Berea,Madison,1125.0,"{'200_Mbps', '300_Mbps', '100_Mbps', '25_Mbps'}","['ticket', 'order']",141.0,690,21,3
F,New York,Lake George,Warren,710.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",14.0,360,29,2
M,Pennsylvania,Drifting,Clearfield,400.0,{'100_Mbps'},"['ticket', 'order']",49.0,240,67,1
F,New York,East Rochester,Monroe,940.0,{'100_Mbps'},"['ticket', 'order']",19.0,554,37,2
F,Florida,Orange Park,Clay,1970.0,{'1_Gbps'},"['ticket', 'order']",66.0,821,20,3
F,Missouri,Caulfield,Ozark,650.0,{'25_Mbps'},"['ticket', 'order']",64.0,555,42,2
F,Pennsylvania,Beccaria,Clearfield,480.0,"{'1_Gbps', '500_Mbps', '25_Mbps'}",['order'],0.0,210,62,1
F,Texas,Lubbock,Lubbock,190.0,{'100_Mbps'},"['ticket', 'order']",31.0,60,22,1
M,Missouri,Jasper,Jasper,465.0,"{'200_Mbps', '300_Mbps', '500_Mbps'}","['ticket', 'order']",40.0,240,57,1
M,Pennsylvania,Hellertown,Northampton,445.0,"{'300_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",38.0,176,22,1
M,Pennsylvania,Northern Cambria,Cambria,1220.0,{'300_Mbps'},"['ticket', 'order']",70.0,690,63,2
F,New York,Rochester,Monroe,1385.0,{'1_Gbps'},"['ticket', 'order']",28.0,600,65,2
F,New York,South New Berlin,Chenango,585.0,{'500_Mbps'},"['ticket', 'order']",18.0,270,43,1
F,North Carolina,Staley,Randolph,940.0,"{'200_Mbps', '300_Mbps'}","['ticket', 'order']",60.0,390,27,2
F,Alabama,Mc Kenzie,Butler,1670.0,{'500_Mbps'},"['ticket', 'order']",7.0,870,71,3
M,Iowa,Castalia,Winneshiek,1670.0,{'300_Mbps'},['order'],0.0,960,54,3
F,North Carolina,Bridgeton,Craven,1450.0,{'1_Gbps'},"['ticket', 'order']",46.0,474,23,2
F,Ohio,Ansonia,Darke,1020.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",69.0,397,57,2
M,North Carolina,Albertson,Duplin,1235.0,{'200_Mbps'},"['ticket', 'order']",11.0,630,27,3
F,New York,Port Crane,Broome,900.0,{'100_Mbps'},"['ticket', 'order']",14.0,559,87,2
M,Texas,Maryneal,Nolan,535.0,{'300_Mbps'},['order'],0.0,0,25,1
M,Florida,Neptune Beach,Duval,700.0,{'100_Mbps'},"['ticket', 'order']",2.0,134,47,2
F,New York,Sherman,Chautauqua,1115.0,"{'1_Gbps', '100_Mbps', '25_Mbps'}",['order'],0.0,390,72,2
F,South Carolina,Mount Croghan,Chesterfield,1010.0,{'200_Mbps'},"['ticket', 'order']",64.0,595,29,2
M,Oklahoma,Colbert,Bryan,785.0,{'200_Mbps'},"['ticket', 'order']",32.0,375,48,2
M,Mississippi,Cascilla,Tallahatchie,485.0,{'200_Mbps'},"['ticket', 'order']",21.0,195,94,1
F,Texas,Mission,Hidalgo,1780.0,{'500_Mbps'},"['ticket', 'order']",7.0,337,22,3
F,Pennsylvania,West Pittsburg,Lawrence,1450.0,{'1_Gbps'},"['ticket', 'order']",47.0,401,77,2
F,Pennsylvania,Mont Alto,Franklin,445.0,"{'200_Mbps', '100_Mbps'}","['ticket', 'order']",29.0,270,34,1
