gender,state,city,county,amount,plan,event_type,daystoresolve,event_date_gap,age,service
F,Pennsylvania,Polk,Venango,740.0,{'25_Mbps'},['order'],0.0,0,44,2
F,Kentucky,Brooksville,Bracken,1345.0,"{'1_Gbps', '500_Mbps'}",['order'],0.0,660,26,2
F,Alabama,Rogersville,Lauderdale,1340.0,{'100_Mbps'},"['ticket', 'order']",4.0,576,25,3
F,Nebraska,Hallam,Lancaster,1010.0,{'500_Mbps'},"['ticket', 'order']",12.0,445,54,2
M,Florida,Key Biscayne,Miami-Dade,1140.0,{'100_Mbps'},"['ticket', 'order']",14.0,471,52,3
F,Pennsylvania,Erie,Erie,485.0,{'200_Mbps'},"['ticket', 'order']",56.0,171,24,1
F,North Carolina,Clarendon,Columbus,1820.0,{'200_Mbps'},"['ticket', 'order']",4.0,529,68,4
M,New York,Shokan,Ulster,985.0,"{'1_Gbps', '100_Mbps'}","['ticket', 'order']",34.0,409,46,2
F,Pennsylvania,Norristown,Montgomery,800.0,{'25_Mbps'},"['ticket', 'order']",92.0,705,69,3
M,Minnesota,Mankato,Blue Earth,650.0,"{'1_Gbps', '200_Mbps', '300_Mbps'}","['ticket', 'order']",56.0,341,36,1
M,New York,Rock City Falls,Saratoga,1190.0,{'200_Mbps'},"['ticket', 'order']",21.0,497,23,2
F,South Carolina,Clemson,Pickens,860.0,{'100_Mbps'},"['ticket', 'order']",30.0,274,25,2
F,Mississippi,Sebastopol,Scott,150.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",21.0,30,37,0
F,Alabama,Mobile,Mobile,1745.0,"{'1_Gbps', '100_Mbps'}","['ticket', 'order']",88.0,664,52,3
M,New York,Lindenhurst,Suffolk,205.0,{'1_Gbps'},"['ticket', 'order']",31.0,27,45,1
M,Pennsylvania,East Earl,Lancaster,415.0,"{'1_Gbps', '300_Mbps'}","['ticket', 'order']",22.0,139,77,1
F,Iowa,Greene,Butler,2490.0,{'1_Gbps'},"['ticket', 'order']",25.0,1001,43,3
M,Arkansas,Langley,Pike,525.0,"{'200_Mbps', '500_Mbps'}","['ticket', 'order']",28.0,240,67,1
M,New York,Ridgewood,Queens,285.0,{'500_Mbps'},"['ticket', 'order']",56.0,31,43,1
F,Pennsylvania,South Park,Allegheny,355.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",45.0,270,20,1
M,Texas,La Villa,Hidalgo,2076.0,"{'1_Gbps', '200_Mbps', '500_Mbps'}","['ticket', 'order']",38.0,983,49,3
M,Iowa,Low Moor,Clinton,1970.0,{'1_Gbps'},"['ticket', 'order']",53.0,870,61,3
M,Texas,Edna,Jackson,530.0,{'25_Mbps'},"['ticket', 'order']",55.0,480,24,2
M,Nebraska,Ruskin,Nuckolls,130.0,{'300_Mbps'},None,0.0,0,30,0
F,Georgia,Omaha,Stewart,920.0,{'300_Mbps'},"['ticket', 'order']",4.0,261,52,2
M,Florida,Saint Petersburg,Pinellas,1775.0,{'1_Gbps'},"['ticket', 'order']",26.0,725,44,3
F,New York,Fishs Eddy,Delaware,780.0,"{'200_Mbps', '300_Mbps'}","['ticket', 'order']",25.0,450,28,2
F,South Carolina,Florence,Florence,295.0,{'100_Mbps'},"['ticket', 'order']",58.0,150,50,1
M,Iowa,Newton,Jasper,795.0,"{'200_Mbps', '300_Mbps'}","['ticket', 'order']",21.0,450,21,2
M,Missouri,Princeton,Mercer,2164.0,{'1_Gbps'},"['ticket', 'order']",5.0,786,20,3
M,Nebraska,Thurston,Thurston,550.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",7.0,378,76,2
M,Minnesota,Wendell,Grant,695.0,{'200_Mbps'},"['ticket', 'order']",28.0,245,19,2
F,Florida,Kissimmee,Osceola,1050.0,"{'200_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",7.0,810,65,3
M,South Carolina,Pelzer,Anderson,855.0,"{'200_Mbps', '300_Mbps'}","['ticket', 'order']",79.0,510,44,2
F,Missouri,Anabel,Macon,125.0,{'200_Mbps'},None,0.0,0,22,0
M,Florida,Kissimmee,Osceola,675.0,"{'1_Gbps', '200_Mbps', '25_Mbps'}","['ticket', 'order']",44.0,390,46,2
F,Kentucky,Campbellsville,Taylor,585.0,{'500_Mbps'},"['ticket', 'order']",3.0,176,28,1
F,New York,Hamilton,Madison,145.0,{'1_Gbps'},None,0.0,0,26,0
F,New Mexico,Espanola,Rio Arriba,745.0,{'1_Gbps'},"['ticket', 'order']",25.0,228,27,1
F,Kentucky,Strunk,McCreary,395.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",10.0,330,26,1
F,Nebraska,Steinauer,Pawnee,800.0,{'25_Mbps'},"['ticket', 'order']",44.0,629,31,3
F,Oklahoma,Lawton,Comanche,1420.0,"{'1_Gbps', '25_Mbps'}","['ticket', 'order']",16.0,750,41,3
M,Kentucky,Hardinsburg,Breckinridge,705.0,"{'1_Gbps', '100_Mbps'}","['ticket', 'order']",13.0,302,75,1
M,Georgia,Donalsonville,Seminole,765.0,"{'100_Mbps', '500_Mbps'}","['ticket', 'order']",22.0,270,22,2
M,Missouri,Middletown,Montgomery,690.0,"{'1_Gbps', '100_Mbps', '300_Mbps'}","['ticket', 'order']",26.0,314,82,1
F,New York,Wurtsboro,Sullivan,955.0,{'500_Mbps'},"['ticket', 'order']",38.0,454,103,2
F,Texas,Mission,Hidalgo,755.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",30.0,373,107,2
M,Oklahoma,Headrick,Jackson,1300.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",77.0,830,26,3
M,Florida,Daytona Beach,Volusia,735.0,"{'200_Mbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",34.0,450,67,2
F,New York,Wading River,Suffolk,645.0,"{'200_Mbps', '100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",59.0,401,58,2
F,Mississippi,Kilmichael,Montgomery,940.0,"{'300_Mbps', '100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",17.0,501,32,2
F,Texas,San Antonio,Bexar,780.0,{'100_Mbps'},"['ticket', 'order']",13.0,508,55,2
M,New Mexico,Crossroads,Lea,1065.0,{'500_Mbps'},['order'],0.0,540,48,2
M,South Carolina,Greenville,Greenville,735.0,{'500_Mbps'},"['ticket', 'order']",50.0,329,49,1
F,New York,Port Washington,Nassau,1415.0,{'200_Mbps'},"['ticket', 'order']",25.0,900,73,3
F,Pennsylvania,New Oxford,Adams,1570.0,{'300_Mbps'},"['ticket', 'order']",82.0,777,25,3
F,Iowa,Harvey,Marion,260.0,{'25_Mbps'},"['ticket', 'order']",46.0,180,48,1
M,Georgia,Atlanta,Fulton,225.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",1.0,60,20,1
M,Georgia,Cohutta,Whitfield,680.0,{'25_Mbps'},"['ticket', 'order']",2.0,367,53,2
M,Pennsylvania,Red Lion,York,1070.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",21.0,540,54,2
F,Arkansas,Burdette,Mississippi,820.0,"{'1_Gbps', '25_Mbps'}","['ticket', 'order']",57.0,375,28,2
M,Minnesota,Clements,Redwood,1220.0,{'300_Mbps'},"['ticket', 'order']",1.0,284,68,2
M,Mississippi,Lumberton,Forrest,1370.0,{'300_Mbps'},"['ticket', 'order']",50.0,581,67,3
F,New York,Theresa,Jefferson,1345.0,"{'500_Mbps', '25_Mbps'}","['ticket', 'order']",37.0,690,35,2
M,Pennsylvania,Swarthmore,Delaware,1175.0,"{'200_Mbps', '500_Mbps'}","['ticket', 'order']",17.0,450,26,2
M,New York,Pine Plains,Dutchess,735.0,{'500_Mbps'},"['ticket', 'order']",38.0,360,79,2
F,Georgia,Marietta,Cobb,235.0,{'500_Mbps'},"['ticket', 'order']",8.0,60,72,1
M,Pennsylvania,Hyndman,Bedford,920.0,{'300_Mbps'},"['ticket', 'order']",54.0,408,21,2
F,Missouri,Green City,Sullivan,1415.0,"{'1_Gbps', '100_Mbps'}",['order'],0.0,630,76,2
M,Missouri,Steedman,Callaway,1125.0,{'1_Gbps'},"['ticket', 'order']",21.0,383,32,2
F,Pennsylvania,Rimersburg,Clarion,1070.0,{'25_Mbps'},"['ticket', 'order']",9.0,1020,22,3
M,Ohio,New Bavaria,Henry,1470.0,{'300_Mbps'},"['ticket', 'order']",10.0,287,30,3
M,Kentucky,Owensboro,Daviess,1555.0,"{'200_Mbps', '100_Mbps', '300_Mbps'}","['ticket', 'order']",65.0,666,21,3
M,Alabama,Red Level,Covington,335.0,{'25_Mbps'},['order'],0.0,270,28,1
F,Ohio,Groveport,Franklin,1185.0,"{'300_Mbps', '500_Mbps', '25_Mbps'}",['order'],0.0,540,58,2
F,New York,New York,New York,650.0,{'200_Mbps'},"['ticket', 'order']",33.0,354,98,1
F,Florida,Palm Harbor,Pinellas,1710.0,{'1_Gbps'},"['ticket', 'order']",27.0,750,44,3
M,South Carolina,North Myrtle Beach,Horry,1525.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",25.0,597,70,3
M,Kentucky,Kenvir,Harlan,1170.0,{'300_Mbps'},"['ticket', 'order']",85.0,553,22,2
M,Florida,Sarasota,Manatee,870.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",47.0,540,56,2
F,New Mexico,Nogal,Lincoln,645.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",5.0,310,49,1
M,South Carolina,Murrells Inlet,Horry,400.0,{'100_Mbps'},"['ticket', 'order']",21.0,240,64,1
M,Arkansas,Fisher,Poinsett,770.0,{'25_Mbps'},"['ticket', 'order']",1.0,318,57,2
F,North Carolina,Beulaville,Duplin,740.0,{'100_Mbps'},"['ticket', 'order']",27.0,510,19,2
M,Missouri,Doniphan,Ripley,1450.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",22.0,840,19,3
M,South Carolina,Newberry,Newberry,185.0,{'25_Mbps'},"['ticket', 'order']",3.0,80,50,1
M,New York,Monticello,Sullivan,980.0,{'100_Mbps'},['order'],0.0,0,75,2
F,Florida,Starke,Bradford,700.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",26.0,494,21,2
M,Florida,Fellsmere,Indian River,335.0,{'500_Mbps'},"['ticket', 'order']",3.0,42,49,1
F,New York,Slingerlands,Albany,960.0,"{'300_Mbps', '25_Mbps'}","['ticket', 'order']",3.0,240,39,2
M,Missouri,Fletcher,Washington,730.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",17.0,245,41,2
M,Texas,Larue,Henderson,1120.0,{'500_Mbps'},['order'],0.0,470,55,2
F,Texas,Abilene,Taylor,900.0,{'100_Mbps'},"['ticket', 'order']",85.0,630,50,2
F,North Carolina,Fontana Dam,Graham,1210.0,"{'1_Gbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",25.0,453,21,2
M,North Carolina,Sunset Beach,Brunswick,155.0,{'100_Mbps'},"['ticket', 'order']",27.0,27,57,0
M,Oklahoma,Jet,Alfalfa,865.0,{'1_Gbps'},"['ticket', 'order']",27.0,240,36,1
F,Florida,Largo,Pinellas,1035.0,"{'1_Gbps', '500_Mbps'}","['ticket', 'order']",89.0,427,52,2
F,Arkansas,Ozan,Hempstead,2296.0,{'1_Gbps'},['order'],0.0,1020,92,3
M,North Carolina,Ocean Isle Beach,Brunswick,1470.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",11.0,870,26,3
F,Pennsylvania,Warren Center,Bradford,635.0,"{'1_Gbps', '25_Mbps'}","['ticket', 'order']",12.0,367,31,2
M,Pennsylvania,Clarence,Centre,1420.0,{'100_Mbps'},"['ticket', 'order']",109.0,882,26,3
M,Mississippi,Ocean Springs,Jackson,770.0,{'25_Mbps'},"['ticket', 'order']",4.0,194,71,2
F,Pennsylvania,Weatherly,Carbon,720.0,{'300_Mbps'},"['ticket', 'order']",39.0,196,28,1
F,Arkansas,Pearcy,Garland,990.0,"{'1_Gbps', '25_Mbps'}","['ticket', 'order']",30.0,630,27,2
F,Florida,Odessa,Hillsborough,385.0,"{'500_Mbps', '25_Mbps'}","['ticket', 'order']",37.0,240,53,1
M,New York,Shortsville,Ontario,565.0,{'1_Gbps'},"['ticket', 'order']",12.0,210,62,1
M,Pennsylvania,Ronks,Lancaster,135.0,{'500_Mbps'},None,0.0,0,46,0
M,Pennsylvania,Harleysville,Montgomery,935.0,"{'1_Gbps', '200_Mbps'}","['ticket', 'order']",26.0,362,28,2
M,Texas,Silverton,Briscoe,685.0,{'1_Gbps'},['order'],0.0,270,27,1
F,Oklahoma,Roland,Sequoyah,245.0,{'200_Mbps'},['order'],0.0,74,66,1
F,South Carolina,Simpsonville,Greenville,625.0,"{'200_Mbps', '100_Mbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",13.0,420,25,2
M,New York,Rye,Westchester,1300.0,"{'200_Mbps', '100_Mbps', '500_Mbps'}","['ticket', 'order']",50.0,701,83,3
F,Oklahoma,Tuskahoma,Pushmataha,1190.0,{'1_Gbps'},['order'],0.0,510,92,2
F,Oklahoma,Weatherford,Custer,1125.0,"{'1_Gbps', '200_Mbps', '300_Mbps'}","['ticket', 'order']",38.0,573,23,2
F,Iowa,Shelby,Harrison,1060.0,{'1_Gbps'},"['ticket', 'order']",27.0,450,24,2
F,Pennsylvania,Braddock,Allegheny,850.0,"{'100_Mbps', '500_Mbps'}","['ticket', 'order']",7.0,540,47,2
M,Kentucky,Mount Sterling,Montgomery,280.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",21.0,150,25,1
M,Texas,Oilton,Webb,740.0,{'200_Mbps'},"['ticket', 'order']",1.0,419,63,2
M,Florida,Key Largo,Monroe,335.0,{'25_Mbps'},['order'],0.0,270,47,1
F,Ohio,Ava,Noble,1645.0,{'1_Gbps'},"['ticket', 'order']",9.0,568,25,2
M,Minnesota,Saint Cloud,Sherburne,820.0,{'100_Mbps'},"['ticket', 'order']",4.0,570,19,2
M,Texas,Galveston,Galveston,505.0,{'100_Mbps'},"['ticket', 'order']",27.0,286,24,1
F,North Carolina,Lattimore,Cleveland,120.0,{'100_Mbps'},None,0.0,0,25,0
M,Oklahoma,Idabel,McCurtain,1010.0,{'200_Mbps'},"['ticket', 'order']",58.0,481,72,2
F,Minnesota,Minneapolis,Hennepin,1415.0,{'200_Mbps'},"['ticket', 'order']",57.0,832,62,3
F,Mississippi,Dennis,Tishomingo,455.0,"{'200_Mbps', '100_Mbps'}","['ticket', 'order']",10.0,192,23,1
F,Texas,Bivins,Cass,355.0,{'300_Mbps'},"['ticket', 'order']",26.0,138,40,1
F,New Mexico,Rodeo,Hidalgo,1200.0,"{'100_Mbps', '500_Mbps', '25_Mbps'}","['ticket', 'order']",50.0,720,34,2
F,Arkansas,Fifty Six,Stone,980.0,{'100_Mbps'},"['ticket', 'order']",18.0,541,19,2
M,Ohio,Ashtabula,Ashtabula,1220.0,"{'300_Mbps', '500_Mbps'}","['ticket', 'order']",54.0,593,28,2
F,South Carolina,Harleyville,Dorchester,1905.0,{'1_Gbps'},"['ticket', 'order']",34.0,840,37,3
M,Georgia,Grovetown,Columbia,785.0,{'200_Mbps'},"['ticket', 'order']",18.0,126,34,2
M,New York,Mechanicville,Saratoga,820.0,"{'1_Gbps', '200_Mbps'}",['order'],0.0,360,46,2
F,Florida,San Antonio,Pasco,1670.0,{'500_Mbps'},"['ticket', 'order']",15.0,703,41,3
F,Pennsylvania,Cresson,Cambria,220.0,{'300_Mbps'},"['ticket', 'order']",69.0,31,65,1
F,New York,Wawarsing,Ulster,2020.0,{'300_Mbps'},['order'],0.0,1170,38,4
M,Texas,Houston,Harris,120.0,{'100_Mbps'},None,0.0,0,60,1
F,North Carolina,Raleigh,Wake,400.0,{'300_Mbps'},"['ticket', 'order']",42.0,193,26,1
M,Missouri,Fisk,Butler,625.0,{'300_Mbps'},"['ticket', 'order']",36.0,290,91,1
M,Missouri,Saint Louis,St. Louis,830.0,{'200_Mbps'},"['ticket', 'order']",28.0,366,46,2
F,New York,New Rochelle,Westchester,625.0,"{'200_Mbps', '100_Mbps'}","['ticket', 'order']",47.0,240,28,2
M,Pennsylvania,Shirleysburg,Huntingdon,535.0,{'500_Mbps'},"['ticket', 'order']",6.0,205,41,1
F,New York,Ridgewood,Queens,1050.0,"{'1_Gbps', '300_Mbps', '25_Mbps'}","['ticket', 'order']",18.0,560,37,2
M,Texas,Wellman,Terry,400.0,{'100_Mbps'},"['ticket', 'order']",42.0,249,20,1
M,Texas,Missouri City,Fort Bend,1305.0,"{'1_Gbps', '200_Mbps', '100_Mbps'}",['order'],0.0,510,25,2
M,New York,Boston,Erie,770.0,{'300_Mbps'},"['ticket', 'order']",29.0,234,82,2
M,Florida,Palm Bay,Brevard,1505.0,{'500_Mbps'},"['ticket', 'order']",48.0,686,50,3
F,Nebraska,Omaha,Douglas,680.0,{'25_Mbps'},"['ticket', 'order']",88.0,587,84,2
F,New Mexico,Waterflow,San Juan,360.0,{'25_Mbps'},"['ticket', 'order']",13.0,74,27,1
M,Arkansas,Gamaliel,Baxter,245.0,"{'100_Mbps', '25_Mbps'}","['ticket', 'order']",46.0,150,67,1
F,Oklahoma,Oklahoma City,Oklahoma,1645.0,{'1_Gbps'},"['ticket', 'order']",53.0,660,26,2
F,Arkansas,Calico Rock,Izard,505.0,{'1_Gbps'},"['ticket', 'order']",2.0,166,39,1
M,Ohio,Lodi,Medina,1270.0,{'300_Mbps'},"['ticket', 'order']",58.0,615,24,2
F,Pennsylvania,Erie,Erie,875.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",16.0,599,91,2
M,Oklahoma,Hammon,Roger Mills,875.0,{'200_Mbps'},"['ticket', 'order']",15.0,106,40,2
F,Minnesota,Jackson,Jackson,525.0,{'200_Mbps'},"['ticket', 'order']",15.0,300,87,1
F,Ohio,Cleveland,Cuyahoga,1280.0,"{'100_Mbps', '300_Mbps'}","['ticket', 'order']",35.0,840,49,3
M,Minnesota,Mendota,Dakota,320.0,"{'200_Mbps', '25_Mbps'}","['ticket', 'order']",22.0,180,19,1
F,Missouri,Harviell,Butler,2296.0,{'1_Gbps'},['order'],0.0,0,21,3
